契約id,会員id,商品id,カード番号,日付
2501,150201,501,6497316820943864,2023/10/5
2502,150202,501,1256198563249584,2023/10/5
2503,150203,502,9574162589658496,2023/10/5
2504,150204,401,3251684102359463,2023/10/5
2505,150205,303,0163290465201963,2023/10/5
2506,150206,112,6419635841021596,2023/10/5
2507,150207,511,6258191354632186,2023/10/5
2508,150208,211,9216510354895336,2023/10/6
2509,150209,205,9874978109553541,2023/10/6
2510,150210,102,4253211943059453,2023/10/6
2511,150211,999,2135643794625532,2023/10/6
2512,150212,203,0642758916435726,2023/10/6
2513,150213,506,4602376529542531,2023/10/6
2514,150214,101,9427209343506643,2023/10/6
2515,150215,110,6810981652186333,2023/10/6
2516,150216,510,4446810652168736,2023/10/6
2517,150217,112,9116603645432488,2023/10/7
2518,150218,410,9665106577235412,2023/10/7
2519,150219,413,6851938169456106,2023/10/7
2520,150220,999,6801065100654884,2023/10/7
2521,150221,506,6810084686135541,2023/10/7
2522,150222,102,9974105518732204,2023/10/7
2523,150223,401,9407389261453600,2023/10/7
2524,150224,413,4089355976215410,2023/10/7
2525,150225,511,1495063427295516,2023/10/8
2526,150226,506,4434229063124529,2023/10/8
2527,150227,303,0463559978719411,2023/10/8
2528,150228,413,9370672150943825,2023/10/8
2529,150229,401,9731655385224791,2023/10/8
2530,150230,501,0647214775985546,2023/10/8
